artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,review_status,notes
DAX-README-001,README.md,packet_readme,planning_summary,concept_only,,none,self_checked,"L2 planning status and concept boundary; no fabrication or tuning authority."
DAX-DESIGN-001,design.md,design_note,mechanism_planning,concept_only,README.md,none,self_checked,"Mechanism, subsystem interfaces, and measurement gates only."
DAX-BOM-001,bom.csv,bom_estimate,planning_inventory,pending_measurement,design.md,none,self_checked,"Estimated part classes; dimensions and sourced specs are pending measurement."
DAX-CUT-001,cut-list.csv,cut_list_estimate,planning_inventory,pending_measurement,design.md,none,self_checked,"Non-dimensional workpiece categories only; no released profiles sizes coordinates or cut authority."
DAX-DECISION-001,decision-record.md,decision_record,concept_decisions,concept_only,design.md,none,self_checked,"Design-study decisions and open questions."
DAX-MCP-001,cad/mcp-session-log.md,provenance_log,qmd_and_tooling,pending_measurement,README.md,none,self_checked,"QMD and external-tool provenance stub; no MCP/CAD session created geometry."
DAX-WL-STARTER-001,daxophone-starter.wl,wolfram_source,model_entrypoint,reference_only,wolfram/daxophone-wolfram-model.wl,estimate_placeholders_only,self_checked,"Thin Wolfram starter; source code only and not fabrication authority."
DAX-WL-MODEL-001,wolfram/daxophone-wolfram-model.wl,wolfram_source,parametric_acoustic_model,reference_only,design.md,estimate_placeholders_only,self_checked,"Parametric bowed wooden tongue cantilever model using estimates pending measurement; not calibrated or fabrication authority."
DAX-SRC-001,sourcing.csv,design_table,sourcing,pending_measurement,design.md,none,self_checked,"V5 baseline scaffold; every item TBD pending coupon-test evidence."
DAX-VAL-001,validation.csv,measurement_template,measurement_template,pending_measurement,design.md,none,self_checked,"V5 baseline scaffold; measurement gates from design.md Measurement Gates, all measured/result cells TBD."
DAX-RISK-001,risks.md,measurement_template,concept,concept_only,design.md,none,self_checked,"V5 baseline scaffold consolidating design.md Risks section into a standalone file."
DAX-DWG-001,drawing-brief.md,drawing,drawing_stub,pending_measurement,design.md,placeholder,self_checked,"V5 baseline scaffold; no dimensioned drawings exist yet, all gated on coupon-test evidence."
DAX-CAD-001,cad/daxophone.scad,cad_source,cad_authoring,pending_measurement,design.md,assumption,self_checked,"Non-dimensional tongue/dax-blank bounding envelope (bench-planning layout only). Renders clean in OpenSCAD. Tongue outline, dax contact curve, clamp pressure, and pickup placement explicitly out of scope. Not fabrication authority until reviewed against a measured reference or design table."
